1 : HII
2 : CIII
3 : CIV
4 : CV
5 : OII
6 : OIII
7 : OIV
8 : OV
9 : OVI
10 : NeII
11 : NeIII
12 : NeIV
13 : NeV
14 : NeVI
15 : SIII
16 : SIV
17 : SV
